DTMNFR;ORGAO;TIPO;SIGLA;SIMBOLO;NOME_LISTA;NUM_ORDEM;NOME_CANDIDATO;PARTIDO_PROPONENTE;INDEPENDENTE
1503000000;CM;3;PAN;;PESSOAS – ANIMAIS – NATUREZA;60;Cláudia Patrícia Braz Quinta Gomes;PAN;N
1503000000;CM;3;PAN;;PESSOAS – ANIMAIS – NATUREZA;61;António da Costa Trepado;PAN;N
1503000000;CM;3;PAN;;PESSOAS – ANIMAIS – NATUREZA;62;Andreia Sofia Rodrigues Isidoro;PAN;N
1503000000;CM;3;PAN;;PESSOAS – ANIMAIS – NATUREZA;63;Helena Maria Rocha Almeida;PAN;N
1503000000;CM;3;PAN;;PESSOAS – ANIMAIS – NATUREZA;64;Daniel Nunes Fernandes;PAN;N
1503000000;CM;3;PAN;;PESSOAS – ANIMAIS – NATUREZA;65;Vera Solange da Silva Lagos;PAN;N
1503000000;CM;3;PAN;;PESSOAS – ANIMAIS – NATUREZA;66;Ana Filipa da Costa Ferreira da Guia;PAN;N
1503000000;CM;3;PAN;;PESSOAS – ANIMAIS – NATUREZA;67;José Bartolomeu Ricardo;PAN;N
1503000000;CM;3;PAN;;PESSOAS – ANIMAIS – NATUREZA;68;Neide Filipa Marinho Passarinho;PAN;N
1503000000;CM;3;PAN;;PESSOAS – ANIMAIS – NATUREZA;69;Arlinda Maria Pereira Conceição;PAN;N
1503000000;CM;3;PAN;;PESSOAS – ANIMAIS – NATUREZA;70;Alexandre Jorge Mendes Ferreira;PAN;N
1503000000;CM;3;PAN;;PESSOAS – ANIMAIS – NATUREZA;71;Maria Ana Quintela Gaivão Andrade Praça Louro Cordoeiro;PAN;N
1503000000;CM;3;PAN;;PESSOAS – ANIMAIS – NATUREZA;72;Nádia Filipa Gomes Lagos;PAN;N
1503000000;CM;3;PAN;;PESSOAS – ANIMAIS – NATUREZA;73;Alexandre Diogo Silva Aires;PAN;N
1503000000;CM;3;PAN;;PESSOAS – ANIMAIS – NATUREZA;74;Orquídea Maria Branco Valério;PAN;N
1503000000;CM;3;PAN;;PESSOAS – ANIMAIS – NATUREZA;75;Mário Maria Branco Lopes de Matos;PAN;N
1503000000;CM;3;PAN;;PESSOAS – ANIMAIS – NATUREZA;76;Cátia Andreia Soares Pereira Amante;PAN;N
1503000000;CM;3;PAN;;PESSOAS – ANIMAIS – NATUREZA;77;Catarina da Costa Carvalho Rita Gomes;PAN;N
1503000000;CM;3;PAN;;PESSOAS – ANIMAIS – NATUREZA;78;Ana Catarina Ribas Lopes;PAN;N
1503000000;CM;3;PAN;;PESSOAS – ANIMAIS – NATUREZA;79;Luís Pedro Amado Pinto Durão;PAN;N
1503000000;CM;3;PAN;;PESSOAS – ANIMAIS – NATUREZA;80;Miguel Ângelo Moura Salvado;PAN;N
1503000000;CM;3;PAN;;PESSOAS – ANIMAIS – NATUREZA;81;Lina Cristina de Matos Gonzalez;PAN;N
1503000000;CM;3;PAN;;PESSOAS – ANIMAIS – NATUREZA;82;Miguel Maria Grossinho Caldeira Pais;PAN;N
1503000000;CM;3;PAN;;PESSOAS – ANIMAIS – NATUREZA;83;Bruno Rafael Esteves Manso Ribeiro;PAN;N
1503000000;CM;3;PAN;;PESSOAS – ANIMAIS – NATUREZA;84;Inês Varela Neves;PAN;N
1503000000;CM;3;PAN;;PESSOAS – ANIMAIS – NATUREZA;85;António Carlos Lourenço Ferreira da Silva;PAN;N
1503000000;CM;3;PAN;;PESSOAS – ANIMAIS – NATUREZA;86;Amaro Alexandre Caeiro Grilo;PAN;N
1503000000;CM;3;PAN;;PESSOAS – ANIMAIS – NATUREZA;87;Jéssica Denise Krause;PAN;N
1503000000;CM;3;PAN;;PESSOAS – ANIMAIS – NATUREZA;88;Nuno de Almeida Ferreira Rita;PAN;N
1503000000;CM;3;PAN;;PESSOAS – ANIMAIS – NATUREZA;89;José Rafael Moita Coelho;PAN;N
1503000000;CM;3;PAN;;PESSOAS – ANIMAIS – NATUREZA;90;Selma Nazaré Vieira Barros;PAN;N
1503000000;CM;3;PAN;;PESSOAS – ANIMAIS – NATUREZA;91;Bruno Miguel Abrantes Queimado Rosa;PAN;N
1503000000;CM;3;PAN;;PESSOAS – ANIMAIS – NATUREZA;92;Luis Filipe Camoêsas dos Anjos;PAN;N
1503000000;CM;3;PAN;;PESSOAS – ANIMAIS – NATUREZA;93;Maria Mafalda de Faria e Melo Forjó;PAN;N
1503000000;CM;3;PAN;;PESSOAS – ANIMAIS – NATUREZA;94;Simão Botelho Batista;PAN;N
1503000000;CM;3;PAN;;PESSOAS – ANIMAIS – NATUREZA;95;Nuno Miguel Salgueiro Ferreira Silvestre;PAN;N
1503000000;CM;3;PAN;;PESSOAS – ANIMAIS – NATUREZA;96;Maria de Lurdes Marques Silva;PAN;N
1503000000;CM;3;PAN;;PESSOAS – ANIMAIS – NATUREZA;97;Pedro Miguel Folião Nunes;PAN;N
1503000000;CM;3;PAN;;PESSOAS – ANIMAIS – NATUREZA;98;Fausto de Oliveira Cruz;PAN;N
1503000000;CM;3;PAN;;PESSOAS – ANIMAIS – NATUREZA;99;Dina Maria Frangalho Ventura dos Santos Mora;PAN;N
1503000000;CM;3;PAN;;PESSOAS – ANIMAIS – NATUREZA;100;Francisco Miguel Pereira Cardina;PAN;N
1503000000;CM;3;PAN;;PESSOAS – ANIMAIS – NATUREZA;101;António Manuel de Oliveira Brito;PAN;N
1503000000;CM;3;PAN;;PESSOAS – ANIMAIS – NATUREZA;102;Helena Maria Quintela e Costa;PAN;N
1503000000;CM;3;PAN;;PESSOAS – ANIMAIS – NATUREZA;103;Hugo Miguel Barreto Gonçalves;PAN;N
1503000000;CM;3;PAN;;PESSOAS – ANIMAIS – NATUREZA;104;David António Rodrigues Pulquério;PAN;N
1503000000;CM;3;PAN;;PESSOAS – ANIMAIS – NATUREZA;105;Célia da Conceição Fragoso Pinheiro;PAN;N
1503000000;CM;3;PAN;;PESSOAS – ANIMAIS – NATUREZA;106;Artur Agostinho Marreiros Graça Fernandes;PAN;N
1503000000;CM;3;PAN;;PESSOAS – ANIMAIS – NATUREZA;107;Duarte Vicente de Sousa;PAN;N
1503000000;CM;3;PAN;;PESSOAS – ANIMAIS – NATUREZA;108;Rosa Maria dos Santos Rolo Martinho;PAN;N
1503000000;CM;3;PAN;;PESSOAS – ANIMAIS – NATUREZA;109;Carlos Manuel Costa Botelho de Moura;PAN;N
1503000000;CM;3;PAN;;PESSOAS – ANIMAIS – NATUREZA;110;Sofia do Carmo Rocha;PAN;N
1503000000;CM;3;PAN;;PESSOAS – ANIMAIS – NATUREZA;111;Sofia Amado Pinto Durão Carvalho;PAN;N
1503000000;CM;3;PAN;;PESSOAS – ANIMAIS – NATUREZA;112;Carlos Manuel Coimbra da Silva;PAN;N
1503000000;CM;3;PAN;;PESSOAS – ANIMAIS – NATUREZA;113;Bernardo Nuno Verdelho Lopes Aires de Campos;PAN;N
1503000000;CM;3;PAN;;PESSOAS – ANIMAIS – NATUREZA;114;Ana Catarina da Fonseca Santos;PAN;N
1503000000;CM;3;PAN;;PESSOAS – ANIMAIS – NATUREZA;115;José Carlos de Araújo Guerreiro Ferreira;PAN;N
1503000000;CM;3;PAN;;PESSOAS – ANIMAIS – NATUREZA;116;Tiago Silva de Oliveira;PAN;N
1503000000;CM;3;PAN;;PESSOAS – ANIMAIS – NATUREZA;117;Cristina Maria Fernandes Vinagre Geraldes;PAN;N
1503000000;CM;3;PAN;;PESSOAS – ANIMAIS – NATUREZA;118;Leonardo Delgado Grilo;PAN;N
1503000000;CM;3;PAN;;PESSOAS – ANIMAIS – NATUREZA;119;Sandra Fortes de Jesus;PAN;N
1503000000;CM;3;PAN;;PESSOAS – ANIMAIS – NATUREZA;120;Paulo César Fernandes Colaço;PAN;N
1503000000;CM;3;PAN;;PESSOAS – ANIMAIS – NATUREZA;121;Hélia Rute Gonçalves Santos;PAN;N
1503000000;CM;3;PAN;;PESSOAS – ANIMAIS – NATUREZA;122;Catarina do Carmo Rocha;PAN;N
1503000000;CM;3;PAN;;PESSOAS – ANIMAIS – NATUREZA;123;José Daniel Pimenta Coutinho;PAN;N
1503000000;CM;3;PAN;;PESSOAS – ANIMAIS – NATUREZA;124;Sílvia Faustina Parreira Lopes;PAN;N
1503000000;CM;3;PAN;;PESSOAS – ANIMAIS – NATUREZA;125;Maria Luis Mendes Alves Pereira de Abreu;PAN;N
1503000000;CM;3;PAN;;PESSOAS – ANIMAIS – NATUREZA;126;Fábio André Lourenço Lopes;PAN;N
1503000000;CM;3;PAN;;PESSOAS – ANIMAIS – NATUREZA;127;Irina Cristiana Ludovico da Costa Tricamegy;PAN;N
1503000000;CM;3;PAN;;PESSOAS – ANIMAIS – NATUREZA;128;Raquel Alexandra Valadares Barrulas;PAN;N
1503000000;CM;3;PAN;;PESSOAS – ANIMAIS – NATUREZA;129;Ricardo Maria Coelho Ribeiro;PAN;N
1503000000;CM;3;PAN;;PESSOAS – ANIMAIS – NATUREZA;130;Maria Ana de Magalhães e Esteves Silva;PAN;N
1503000000;CM;3;PAN;;PESSOAS – ANIMAIS – NATUREZA;131;Henrique Pimenta Coutinho;PAN;N
1503000000;CM;3;PAN;;PESSOAS – ANIMAIS – NATUREZA;132;Mariana da Cruz França;PAN;N
1503000000;CM;3;PAN;;PESSOAS – ANIMAIS – NATUREZA;133;Jorge Manuel Vieira Braga;PAN;N
1503000000;CM;3;PAN;;PESSOAS – ANIMAIS – NATUREZA;134;Paula Alexandra Monteiro dos Santos Pires;PAN;N
1503000000;CM;3;PAN;;PESSOAS – ANIMAIS – NATUREZA;135;Gustavo Manuel Marques Pinto;PAN;N
1503000000;CM;3;PAN;;PESSOAS – ANIMAIS – NATUREZA;136;João Maria Castro de Oliveira Rocha Pinto;PAN;N
1503000000;CM;3;PAN;;PESSOAS – ANIMAIS – NATUREZA;137;Ângela Maria Paradela Gonçalves Lopes Seguin;PAN;N
1503000000;CM;3;PAN;;PESSOAS – ANIMAIS – NATUREZA;138;Manuel Castro de Oliveira Rocha Pinto;PAN;N
1503000000;CM;3;PAN;;PESSOAS – ANIMAIS – NATUREZA;139;Edgar Pires de Matos Morgadinho Faustino;PAN;N
1503000000;CM;3;PAN;;PESSOAS – ANIMAIS – NATUREZA;140;Ana Mafalda Boieiro Marques;PAN;N
